name,url,icon
Google,https://www.google.com,https://www.google.com/favicon.ico
GitHub,https://github.com,https://github.githubassets.com/favicons/favicon.svg
YouTube,https://youtube.com,https://www.youtube.com/s/desktop/57a9c88b/img/favicon.ico
OpenAI,https://openai.com,https://openai.com/favicon.ico
Image to Text,https://www.imagetotext.info,https://www.imagetotext.info/web_assets/frontend/img/logo.svg?v4.3.4
Epoch Converter,https://www.epochconverter.com,https://www.epochconverter.com/img/epochconverter.svg
Render,https://render.com,http://www.w3.org/2000/svg
Resend,https://resend.com,http://www.w3.org/2000/svg
Jam Dev Utils,https://jam.dev/utilities,http://www.w3.org/2000/svg
Cron-Job,https://console.cron-job.org,https://console.cron-job.org/static/media/logo.57120238b03f90fbac58.png